name,team,pass_cmp,pass_att,pass_yd,pass_td,pass_int,sacks,rush_att,rush_yd,rush_td,tar,rec,rec_yd,rec_td,fum,g,core_pass_att,core_rush_att,core_tar,core_pass_yd,core_pass_td,core_int,core_rush_yd,core_rush_td,core_rec,core_rec_yd,core_rec_td,core_fum,proj_pass_att,proj_rush_att,proj_tar,proj_pass_yd,proj_pass_td,proj_int,proj_rush_yd,proj_rush_td,proj_rec,proj_rec_yd,proj_rec_td,proj_fum
Kendre Miller,NOR,0.0,0.0,0.0,0.0,0.0,0,6.5,3.79,0.03,1.33,0.62,4.12,0.0,0.0,6,0.0,6.43,1.33,0.0,0.0,0.0,24.05,0.21,0.81,5.47,0.0,0.0,0.0,6.43,1.33,0.0,0.0,0.0,24.05,0.21,0.81,5.47,0.0,0.0
Kenneth Gainwell,PHI,0.0,0.0,0.0,0.0,0.0,0,4.69,3.87,0.01,1.38,0.73,5.27,0.0,0.0,16,0.0,4.54,1.4,0.0,0.0,0.0,17.26,0.04,1.01,7.12,0.0,0.0,0.0,4.54,1.4,0.0,0.0,0.0,17.26,0.04,1.01,7.12,0.0,0.0
Kenneth Walker III,SEA,0.0,0.0,0.0,0.0,0.0,0,13.91,3.75,0.05,4.82,0.87,5.64,0.02,0.0,11,0.0,14.02,4.85,0.0,0.0,0.0,52.84,0.69,4.18,27.33,0.1,0.0,0.0,14.02,4.85,0.0,0.0,0.0,52.84,0.69,4.18,27.33,0.1,0.0
Kenny McIntosh,SEA,0.0,0.0,0.0,0.0,0.0,0,4.43,5.55,0.0,0.57,0.75,5.5,0.0,0.0,7,0.0,4.46,0.57,0.0,0.0,0.0,24.9,0.0,0.43,3.15,0.0,0.0,0.0,4.46,0.57,0.0,0.0,0.0,24.9,0.0,0.43,3.15,0.0,0.0
Kenny Pickett,PHI,0.6,8.4,6.93,0.05,0.02,4,1.8,1.67,0.11,0.0,0.0,0.0,0.0,0.11,5,8.52,1.74,0.0,57.01,0.4,0.2,2.86,0.18,0.0,0.0,0.0,0.2,8.52,1.74,0.0,57.01,0.4,0.2,2.86,0.18,0.0,0.0,0.0,0.2
Kenny Yeboah,NYJ,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.33,0.62,5.88,0.12,0.0,6,0.0,0.0,1.32,0.0,0.0,0.0,0.0,0.0,0.82,7.85,0.16,0.0,0.0,0.0,1.32,0.0,0.0,0.0,0.0,0.0,0.82,7.85,0.16,0.0
Keon Coleman,BUF,0.0,0.0,0.0,0.0,0.0,0,0.08,9.0,0.0,4.38,0.51,9.75,0.07,0.0,13,0.0,0.08,4.42,0.0,0.0,0.0,0.73,0.0,2.28,43.48,0.31,0.0,0.0,0.08,4.42,0.0,0.0,0.0,0.73,0.0,2.28,43.48,0.31,0.0
KhaDarel Hodge,ATL,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,2.4,0.58,10.92,0.08,0.0,5,0.0,0.0,2.35,0.0,0.0,0.0,0.0,0.0,1.36,25.72,0.19,0.0,0.0,0.0,2.35,0.0,0.0,0.0,0.0,0.0,1.36,25.72,0.19,0.0
Khalil Shakir,BUF,0.0,0.0,0.0,0.0,0.0,0,0.13,2.0,0.0,6.67,0.76,8.21,0.04,0.01,15,0.0,0.13,6.73,0.0,0.0,0.0,0.26,0.0,5.16,55.76,0.27,0.07,0.0,0.13,6.73,0.0,0.0,0.0,0.26,0.0,5.16,55.76,0.27,0.07
Kirk Cousins,ATL,0.67,32.36,7.74,0.04,0.04,28,1.64,0.0,0.0,0.0,0.0,0.0,0.0,0.57,14,31.75,1.64,0.0,245.84,1.28,1.31,0.0,0.0,0.0,0.0,0.0,0.95,31.75,1.64,0.0,245.84,1.28,1.31,0.0,0.0,0.0,0.0,0.0,0.95
Kyle Allen,PIT,1.0,1.0,19.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.0,0.0,19.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,19.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kyle Juszczyk,SFO,0.0,0.0,0.0,0.0,0.0,0,0.36,5.2,0.2,2.21,0.61,6.45,0.06,0.03,14,0.0,0.37,2.19,0.0,0.0,0.0,1.92,0.08,1.33,14.03,0.14,0.07,0.0,0.37,2.19,0.0,0.0,0.0,1.92,0.08,1.33,14.03,0.14,0.07
Kyle Pitts,ATL,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,4.35,0.64,8.14,0.05,0.0,17,0.0,0.0,4.27,0.0,0.0,0.0,0.0,0.0,2.73,34.75,0.21,0.0,0.0,0.0,4.27,0.0,0.0,0.0,0.0,0.0,2.73,34.75,0.21,0.0
Kylen Granson,IND,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,2.21,0.45,5.87,0.0,0.0,14,0.0,0.0,2.22,0.0,0.0,0.0,0.0,0.0,1.0,13.0,0.0,0.0,0.0,0.0,2.22,0.0,0.0,0.0,0.0,0.0,1.0,13.0,0.0,0.0
Kyler Murray,ARI,0.69,31.82,7.12,0.04,0.02,30,4.59,7.33,0.06,0.0,0.0,0.0,0.0,0.1,17,32.15,4.57,0.0,230.24,1.29,0.62,32.99,0.28,0.0,0.0,0.0,0.46,32.15,4.57,0.0,230.24,1.29,0.62,32.99,0.28,0.0,0.0,0.0,0.46
Kyren Williams,LAR,0.0,0.0,0.0,0.0,0.0,0,19.75,4.11,0.04,2.5,0.85,4.55,0.05,0.01,16,0.0,20.1,2.5,0.0,0.0,0.0,82.58,0.78,2.13,11.58,0.14,0.2,0.0,20.1,2.5,0.0,0.0,0.0,82.58,0.78,2.13,11.58,0.14,0.2
Ladd McConkey,LAC,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,7.0,0.73,10.26,0.06,0.02,16,0.0,0.0,6.87,0.0,0.0,0.0,0.0,0.0,4.99,70.86,0.4,0.14,0.0,0.0,6.87,0.0,0.0,0.0,0.0,0.0,4.99,70.86,0.4,0.14
Lamar Jackson,BAL,0.67,27.88,8.8,0.09,0.01,23,8.18,6.58,0.03,0.0,0.0,0.0,0.0,0.07,17,27.92,8.35,0.0,247.01,2.44,0.28,55.49,0.26,0.0,0.0,0.0,0.55,27.92,8.35,0.0,247.01,2.44,0.28,55.49,0.26,0.0,0.0,0.0,0.55
Lucas Krull,DEN,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,2.3,0.83,6.61,0.0,0.0,10,0.0,0.0,2.26,0.0,0.0,0.0,0.0,0.0,1.87,14.98,0.0,0.0,0.0,0.0,2.26,0.0,0.0,0.0,0.0,0.0,1.87,14.98,0.0,0.0
Luke Farrell,JAX,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.7,0.71,3.94,0.0,0.0,10,0.0,0.0,1.73,0.0,0.0,0.0,0.0,0.0,1.25,6.91,0.0,0.0,0.0,0.0,1.73,0.0,0.0,0.0,0.0,0.0,1.25,6.91,0.0,0.0
Luke McCaffrey,WAS,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,2.0,0.75,7.0,0.0,0.0,12,0.0,0.0,2.05,0.0,0.0,0.0,0.0,0.0,1.52,14.12,0.0,0.0,0.0,0.0,2.05,0.0,0.0,0.0,0.0,0.0,1.52,14.12,0.0,0.0
Luke Musgrave,GNB,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.43,0.7,4.5,0.0,0.0,7,0.0,0.0,1.42,0.0,0.0,0.0,0.0,0.0,1.01,6.37,0.0,0.0,0.0,0.0,1.42,0.0,0.0,0.0,0.0,0.0,1.01,6.37,0.0,0.0
Luke Schoonmaker,DAL,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,3.6,0.75,6.69,0.03,0.0,10,0.0,0.0,3.63,0.0,0.0,0.0,0.0,0.0,2.76,24.53,0.11,0.0,0.0,0.0,3.63,0.0,0.0,0.0,0.0,0.0,2.76,24.53,0.11,0.0
Mac Jones,JAX,0.65,26.2,6.38,0.03,0.03,14,2.8,3.29,0.04,0.0,0.0,0.0,0.0,0.07,10,26.72,2.79,0.0,172.43,0.79,0.72,9.34,0.11,0.0,0.0,0.0,0.18,26.72,2.79,0.0,172.43,0.79,0.72,9.34,0.11,0.0,0.0,0.0,0.18
Mack Hollins,BUF,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,3.12,0.62,7.56,0.1,0.0,16,0.0,0.0,3.15,0.0,0.0,0.0,0.0,0.0,1.97,24.02,0.32,0.0,0.0,0.0,3.15,0.0,0.0,0.0,0.0,0.0,1.97,24.02,0.32,0.0
Malik Heath,GNB,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,2.6,0.77,7.46,0.15,0.0,5,0.0,0.0,2.58,0.0,0.0,0.0,0.0,0.0,2.01,19.19,0.42,0.0,0.0,0.0,2.58,0.0,0.0,0.0,0.0,0.0,2.01,19.19,0.42,0.0
Malik Nabers,NYG,0.0,0.07,0.0,0.0,0.0,0,0.33,0.4,0.0,11.33,0.64,7.08,0.04,0.01,15,0.07,0.33,11.32,0.0,0.0,0.0,0.13,0.0,7.27,80.15,0.43,0.11,0.07,0.33,11.32,0.0,0.0,0.0,0.13,0.0,7.27,80.15,0.43,0.11
Malik Washington,MIA,0.0,0.0,0.0,0.0,0.0,0,0.42,5.0,0.2,3.0,0.72,6.19,0.0,0.02,12,0.0,0.4,3.08,0.0,0.0,0.0,2.04,0.08,2.21,19.04,0.0,0.07,0.0,0.4,3.08,0.0,0.0,0.0,2.04,0.08,2.21,19.04,0.0,0.07
Malik Willis,GNB,0.74,9.0,10.19,0.06,0.0,8,3.33,6.9,0.05,0.0,0.0,0.0,0.0,0.05,6,8.94,3.39,0.0,90.72,0.58,0.0,23.22,0.16,0.0,0.0,0.0,0.17,8.94,3.39,0.0,90.72,0.58,0.0,23.22,0.16,0.0,0.0,0.0,0.17
Marcus Mariota,WAS,0.77,14.67,8.27,0.09,0.0,3,6.0,5.11,0.06,0.0,0.0,0.0,0.0,0.0,3,15.01,5.89,0.0,122.36,1.31,0.0,29.6,0.33,0.0,0.0,0.0,0.0,15.01,5.89,0.0,122.36,1.31,0.0,29.6,0.33,0.0,0.0,0.0,0.0
Mark Andrews,BAL,0.0,0.0,0.0,0.0,0.0,0,0.24,1.25,0.0,4.06,0.8,9.75,0.16,0.0,17,0.0,0.25,4.07,0.0,0.0,0.0,0.31,0.0,3.28,39.85,0.63,0.0,0.0,0.25,4.07,0.0,0.0,0.0,0.31,0.0,3.28,39.85,0.63,0.0
Marquez Valdes-Scantling,BUF,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.8,0.22,2.89,0.0,0.0,5,0.0,0.0,1.82,0.0,0.0,0.0,0.0,0.0,0.4,5.3,0.0,0.0,0.0,0.0,1.82,0.0,0.0,0.0,0.0,0.0,0.4,5.3,0.0,0.0
Marquez Valdes-Scantling,NOR,0.0,0.0,0.0,0.0,0.0,0,0.12,4.0,0.0,4.38,0.49,11.0,0.11,0.0,8,0.0,0.12,4.39,0.0,0.0,0.0,0.47,0.0,2.12,48.1,0.44,0.0,0.0,0.12,4.39,0.0,0.0,0.0,0.47,0.0,2.12,48.1,0.44,0.0
Marquise Brown,KAN,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,7.5,0.6,6.07,0.0,0.0,2,0.0,0.0,7.29,0.0,0.0,0.0,0.0,0.0,4.39,44.91,0.0,0.0,0.0,0.0,7.29,0.0,0.0,0.0,0.0,0.0,4.39,44.91,0.0,0.0
Marvin Harrison Jr.,ARI,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,6.82,0.53,7.63,0.07,0.01,17,0.0,0.0,6.89,0.0,0.0,0.0,0.0,0.0,3.67,52.88,0.49,0.07,0.0,0.0,6.89,0.0,0.0,0.0,0.0,0.0,3.67,52.88,0.49,0.07
Marvin Mims,DEN,0.0,0.0,0.0,0.0,0.0,0,0.81,3.23,0.0,3.25,0.75,9.67,0.12,0.02,16,0.0,0.81,3.19,0.0,0.0,0.0,2.65,0.0,2.39,30.98,0.37,0.09,0.0,0.81,3.19,0.0,0.0,0.0,2.65,0.0,2.39,30.98,0.37,0.09
Mason Rudolph,TEN,0.64,28.5,6.71,0.04,0.04,11,3.12,4.24,0.04,0.0,0.0,0.0,0.0,0.2,8,28.35,3.08,0.0,188.85,1.14,1.04,13.24,0.13,0.0,0.0,0.0,0.65,28.35,3.08,0.0,188.85,1.14,1.04,13.24,0.13,0.0,0.0,0.0,0.65
Mason Tipton,NOR,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,2.89,0.54,3.81,0.0,0.0,9,0.0,0.0,2.89,0.0,0.0,0.0,0.0,0.0,1.54,10.99,0.0,0.0,0.0,0.0,2.89,0.0,0.0,0.0,0.0,0.0,1.54,10.99,0.0,0.0
Matthew Stafford,LAR,0.66,32.31,7.28,0.04,0.02,28,1.88,1.37,0.0,0.0,0.0,0.0,0.0,0.2,16,32.31,1.91,0.0,239.51,1.42,0.64,2.62,0.0,0.0,0.0,0.0,0.35,32.31,1.91,0.0,239.51,1.42,0.64,2.62,0.0,0.0,0.0,0.0,0.35
Michael Burton,DEN,0.0,0.0,0.0,0.0,0.0,0,0.64,1.14,0.14,0.91,1.0,6.5,0.1,0.0,11,0.0,0.64,0.89,0.0,0.0,0.0,0.74,0.1,0.89,5.83,0.09,0.0,0.0,0.64,0.89,0.0,0.0,0.0,0.74,0.1,0.89,5.83,0.09,0.0
Michael Mayer,LVR,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,2.91,0.66,4.88,0.0,0.0,11,0.0,0.0,2.81,0.0,0.0,0.0,0.0,0.0,1.86,13.77,0.0,0.0,0.0,0.0,2.81,0.0,0.0,0.0,0.0,0.0,1.86,13.77,0.0,0.0
Michael Penix,ATL,0.58,21.0,7.38,0.03,0.03,4,1.4,1.57,0.14,0.0,0.0,0.0,0.0,0.29,5,20.6,1.4,0.0,152.12,0.62,0.64,2.15,0.2,0.0,0.0,0.0,0.41,20.6,1.4,0.0,152.12,0.62,0.64,2.15,0.2,0.0,0.0,0.0,0.41
Michael Pittman Jr.,IND,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,6.94,0.62,7.28,0.03,0.01,16,0.0,0.0,6.97,0.0,0.0,0.0,0.0,0.0,4.35,50.64,0.21,0.07,0.0,0.0,6.97,0.0,0.0,0.0,0.0,0.0,4.35,50.64,0.21,0.07
Michael Wilson,ARI,0.0,0.0,0.0,0.0,0.0,0,0.06,7.0,0.0,4.44,0.66,7.72,0.06,0.01,16,0.0,0.06,4.49,0.0,0.0,0.0,0.41,0.0,2.97,34.83,0.27,0.05,0.0,0.06,4.49,0.0,0.0,0.0,0.41,0.0,2.97,34.83,0.27,0.05
Mike Evans,TAM,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,7.86,0.67,9.13,0.1,0.0,14,0.0,0.0,7.83,0.0,0.0,0.0,0.0,0.0,5.23,71.63,0.76,0.0,0.0,0.0,7.83,0.0,0.0,0.0,0.0,0.0,5.23,71.63,0.76,0.0
Mike Gesicki,CIN,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,5.19,0.78,8.01,0.02,0.01,16,0.0,0.0,5.27,0.0,0.0,0.0,0.0,0.0,4.13,42.13,0.1,0.05,0.0,0.0,5.27,0.0,0.0,0.0,0.0,0.0,4.13,42.13,0.1,0.05
Miles Sanders,CAR,0.0,0.0,0.0,0.0,0.0,0,5.0,3.73,0.04,2.73,0.8,4.93,0.03,0.01,11,0.0,5.06,2.7,0.0,0.0,0.0,18.55,0.21,2.14,13.35,0.08,0.08,0.0,5.06,2.7,0.0,0.0,0.0,18.55,0.21,2.14,13.35,0.08,0.08
Mitchell Trubisky,BUF,0.73,3.25,6.88,0.08,0.0,0,2.12,0.06,0.0,0.0,0.0,0.0,0.0,0.06,8,3.28,2.1,0.0,22.77,0.27,0.0,0.13,0.0,0.0,0.0,0.0,0.13,3.28,2.1,0.0,22.77,0.27,0.0,0.13,0.0,0.0,0.0,0.0,0.13
Mo Alie-Cox,IND,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.83,0.55,6.68,0.05,0.0,12,0.0,0.0,1.84,0.0,0.0,0.0,0.0,0.0,1.02,12.25,0.09,0.0,0.0,0.0,1.84,0.0,0.0,0.0,0.0,0.0,1.02,12.25,0.09,0.0
Najee Harris,PIT,0.0,0.0,0.0,0.0,0.0,0,15.47,3.97,0.02,2.82,0.75,5.9,0.0,0.0,17,0.0,15.46,2.83,0.0,0.0,0.0,63.16,0.31,2.13,16.74,0.0,0.0,0.0,15.46,2.83,0.0,0.0,0.0,63.16,0.31,2.13,16.74,0.0,0.0
Nate Adkins,DEN,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.25,0.93,7.67,0.2,0.0,12,0.0,0.0,1.23,0.0,0.0,0.0,0.0,0.0,1.14,9.45,0.24,0.0,0.0,0.0,1.23,0.0,0.0,0.0,0.0,0.0,1.14,9.45,0.24,0.0
Nick Chubb,CLE,0.0,0.0,0.0,0.0,0.0,0,12.75,3.25,0.03,1.38,0.45,2.82,0.09,0.01,8,0.0,13.15,1.35,0.0,0.0,0.0,43.96,0.41,0.61,3.83,0.12,0.15,0.0,13.15,1.35,0.0,0.0,0.0,43.96,0.41,0.61,3.83,0.12,0.15
Nick Mullens,MIN,1.0,0.5,19.0,0.0,0.0,0,0.75,-0.67,0.0,0.0,0.0,0.0,0.0,0.0,4,0.51,0.74,0.0,9.53,0.0,0.0,-0.5,0.0,0.0,0.0,0.0,0.0,0.51,0.74,0.0,9.53,0.0,0.0,-0.5,0.0,0.0,0.0,0.0,0.0
Nick Westbrook-Ikhine,TEN,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,4.62,0.53,8.28,0.15,0.0,13,0.0,0.0,4.6,0.0,0.0,0.0,0.0,0.0,2.46,37.78,0.69,0.0,0.0,0.0,4.6,0.0,0.0,0.0,0.0,0.0,2.46,37.78,0.69,0.0
Nico Collins,HOU,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,8.25,0.69,10.16,0.07,0.0,12,0.0,0.0,8.29,0.0,0.0,0.0,0.0,0.0,5.66,82.64,0.58,0.0,0.0,0.0,8.29,0.0,0.0,0.0,0.0,0.0,5.66,82.64,0.58,0.0
Nikko Remigio,KAN,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,6.0,0.33,8.0,0.0,0.0,1,0.0,0.0,5.83,0.0,0.0,0.0,0.0,0.0,1.93,47.35,0.0,0.0,0.0,0.0,5.83,0.0,0.0,0.0,0.0,0.0,1.93,47.35,0.0,0.0
Noah Brown,WAS,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,5.09,0.62,8.09,0.02,0.0,11,0.0,0.0,5.21,0.0,0.0,0.0,0.0,0.0,3.2,41.53,0.1,0.0,0.0,0.0,5.21,0.0,0.0,0.0,0.0,0.0,3.2,41.53,0.1,0.0
Noah Fant,SEA,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,4.57,0.75,7.81,0.02,0.0,14,0.0,0.0,4.6,0.0,0.0,0.0,0.0,0.0,3.41,35.88,0.1,0.0,0.0,0.0,4.6,0.0,0.0,0.0,0.0,0.0,3.41,35.88,0.1,0.0
Noah Gray,KAN,0.0,0.0,0.0,0.0,0.0,0,0.06,-4.0,0.0,3.06,0.82,8.92,0.1,0.0,16,0.0,0.06,2.98,0.0,0.0,0.0,-0.25,0.0,2.45,26.92,0.29,0.0,0.0,0.06,2.98,0.0,0.0,0.0,-0.25,0.0,2.45,26.92,0.29,0.0
Olamide Zaccheaus,WAS,0.0,0.0,0.0,0.0,0.0,0,0.07,8.0,0.0,4.27,0.7,7.91,0.05,0.03,15,0.0,0.07,4.37,0.0,0.0,0.0,0.54,0.0,3.03,34.06,0.21,0.12,0.0,0.07,4.37,0.0,0.0,0.0,0.54,0.0,3.03,34.06,0.21,0.12
Parker Washington,JAX,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,4.25,0.63,7.65,0.06,0.04,12,0.0,0.0,4.33,0.0,0.0,0.0,0.0,0.0,2.76,33.54,0.26,0.16,0.0,0.0,4.33,0.0,0.0,0.0,0.0,0.0,2.76,33.54,0.26,0.16
Pat Freiermuth,PIT,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,4.59,0.83,8.37,0.09,0.04,17,0.0,0.0,4.61,0.0,0.0,0.0,0.0,0.0,3.84,38.65,0.4,0.19,0.0,0.0,4.61,0.0,0.0,0.0,0.0,0.0,3.84,38.65,0.4,0.19
Patrick Mahomes,KAN,0.67,36.31,6.76,0.04,0.02,36,3.62,5.29,0.03,0.06,1.0,2.0,0.0,0.03,16,35.3,3.69,0.06,242.12,1.36,0.69,19.74,0.12,0.06,0.12,0.0,0.12,35.3,3.69,0.06,242.12,1.36,0.69,19.74,0.12,0.06,0.12,0.0,0.12
Patrick Ricard,BAL,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.6,4.4,0.2,0.0,5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.61,4.43,0.19,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.61,4.43,0.19,0.0
Patrick Taylor,SFO,0.0,0.0,0.0,0.0,0.0,0,7.8,4.69,0.03,2.2,0.27,2.27,0.0,0.0,5,0.0,8.01,2.18,0.0,0.0,0.0,37.51,0.24,0.59,4.92,0.0,0.0,0.0,8.01,2.18,0.0,0.0,0.0,37.51,0.24,0.59,4.92,0.0,0.0
Payne Durham,TAM,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,2.8,0.79,8.21,0.14,0.07,5,0.0,0.0,2.79,0.0,0.0,0.0,0.0,0.0,2.2,22.95,0.38,0.2,0.0,0.0,2.79,0.0,0.0,0.0,0.0,0.0,2.2,22.95,0.38,0.2
Puka Nacua,LAR,0.0,0.0,0.0,0.0,0.0,0,1.0,4.18,0.09,9.64,0.75,9.34,0.03,0.0,11,0.0,1.02,9.64,0.0,0.0,0.0,4.25,0.09,7.25,91.68,0.32,0.0,0.0,1.02,9.64,0.0,0.0,0.0,4.25,0.09,7.25,91.68,0.32,0.0
Quentin Johnston,LAC,0.0,0.0,0.0,0.0,0.0,0,0.2,2.0,0.0,6.07,0.6,7.81,0.09,0.0,15,0.0,0.2,5.96,0.0,0.0,0.0,0.41,0.0,3.56,46.77,0.52,0.0,0.0,0.2,5.96,0.0,0.0,0.0,0.41,0.0,3.56,46.77,0.52,0.0
Rachaad White,TAM,0.0,0.0,0.0,0.0,0.0,0,9.6,4.26,0.02,3.8,0.89,6.89,0.11,0.01,15,0.0,9.46,3.78,0.0,0.0,0.0,39.38,0.19,3.36,26.13,0.4,0.14,0.0,9.46,3.78,0.0,0.0,0.0,39.38,0.19,3.36,26.13,0.4,0.14
Raheem Mostert,MIA,0.0,0.0,0.0,0.0,0.0,0,7.08,3.27,0.02,1.92,0.83,7.0,0.0,0.02,12,0.0,6.8,1.97,0.0,0.0,0.0,22.49,0.14,1.63,13.78,0.0,0.17,0.0,6.8,1.97,0.0,0.0,0.0,22.49,0.14,1.63,13.78,0.0,0.17
Rasheen Ali,BAL,0.0,0.0,0.0,0.0,0.0,0,2.5,3.1,0.0,0.5,0.0,0.0,0.0,0.0,4,0.0,2.55,0.5,0.0,0.0,0.0,7.99,0.0,0.0,0.0,0.0,0.0,0.0,2.55,0.5,0.0,0.0,0.0,7.99,0.0,0.0,0.0,0.0,0.0
Rashid Shaheed,NOR,0.0,0.0,0.0,0.0,0.0,0,1.0,4.83,0.0,6.83,0.49,8.51,0.07,0.02,6,0.0,0.99,6.84,0.0,0.0,0.0,4.72,0.0,3.3,58.02,0.44,0.16,0.0,0.99,6.84,0.0,0.0,0.0,4.72,0.0,3.3,58.02,0.44,0.16
Rashod Bateman,BAL,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,4.5,0.62,10.5,0.12,0.0,16,0.0,0.0,4.51,0.0,0.0,0.0,0.0,0.0,2.81,47.57,0.52,0.0,0.0,0.0,4.51,0.0,0.0,0.0,0.0,0.0,2.81,47.57,0.52,0.0
Ray Davis,BUF,0.0,0.0,0.0,0.0,0.0,0,7.06,3.91,0.03,1.19,0.89,9.95,0.16,0.0,16,0.0,7.01,1.2,0.0,0.0,0.0,28.05,0.21,1.08,12.06,0.2,0.0,0.0,7.01,1.2,0.0,0.0,0.0,28.05,0.21,1.08,12.06,0.2,0.0
Ray-Ray McCloud,ATL,0.0,0.0,0.0,0.0,0.0,0,0.59,7.9,0.0,5.12,0.71,7.89,0.01,0.04,17,0.0,0.59,5.02,0.0,0.0,0.0,4.57,0.0,3.56,39.65,0.05,0.23,0.0,0.59,5.02,0.0,0.0,0.0,4.57,0.0,3.56,39.65,0.05,0.23
Reggie Gilliam,BUF,0.0,0.0,0.0,0.0,0.0,0,1.5,2.33,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,1.49,0.0,0.0,0.0,0.0,3.55,0.0,0.0,0.0,0.0,0.0,0.0,1.49,0.0,0.0,0.0,0.0,3.55,0.0,0.0,0.0,0.0,0.0
Rhamondre Stevenson,NWE,0.0,0.0,0.0,0.0,0.0,0,13.8,3.87,0.03,2.73,0.8,4.1,0.02,0.03,15,0.0,13.56,2.78,0.0,0.0,0.0,52.41,0.41,2.22,11.46,0.06,0.5,0.0,13.56,2.78,0.0,0.0,0.0,52.41,0.41,2.22,11.46,0.06,0.5
Ricky Pearsall,SFO,0.0,0.1,0.0,0.0,0.0,0,0.3,15.0,0.0,4.6,0.67,8.7,0.07,0.0,10,0.1,0.31,4.57,0.0,0.0,0.0,4.61,0.0,3.04,39.39,0.34,0.0,0.1,0.31,4.57,0.0,0.0,0.0,4.61,0.0,3.04,39.39,0.34,0.0
Rico Dowdle,DAL,0.0,0.0,0.0,0.0,0.0,0,14.69,4.59,0.01,3.06,0.8,5.08,0.06,0.01,16,0.0,14.69,3.09,0.0,0.0,0.0,66.96,0.14,2.5,15.84,0.18,0.17,0.0,14.69,3.09,0.0,0.0,0.0,66.96,0.14,2.5,15.84,0.18,0.17
Rome Odunze,CHI,0.0,0.0,0.0,0.0,0.0,0,0.18,5.0,0.0,5.94,0.53,7.27,0.03,0.02,17,0.0,0.18,5.92,0.0,0.0,0.0,0.9,0.0,3.14,42.82,0.18,0.12,0.0,0.18,5.92,0.0,0.0,0.0,0.9,0.0,3.14,42.82,0.18,0.12
Romeo Doubs,GNB,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,5.54,0.64,8.35,0.06,0.0,13,0.0,0.0,5.5,0.0,0.0,0.0,0.0,0.0,3.57,45.76,0.36,0.0,0.0,0.0,5.5,0.0,0.0,0.0,0.0,0.0,3.57,45.76,0.36,0.0
