team,pass_cmp,pass_att,pass_yd,pass_td,pass_int,sacks,rush_att,rush_yd,rush_td,targets,rec,rec_yd,rec_td,off_fum,def_pass_cmp,def_pass_att,def_pass_yd,def_pass_td,def_int,def_sacks,def_rush_att,def_rush_yd,def_rush_td,def_targets,def_rec,def_rec_yd,def_rec_td,def_fum,opps,games,next_op,ratio_pass_cmp,ratio_pass_att,ratio_pass_yd,ratio_pass_td,ratio_pass_int,ratio_sacks,ratio_rush_att,ratio_rush_yd,ratio_rush_td,ratio_targets,ratio_rec,ratio_rec_yd,ratio_rec_td,ratio_off_fum,ratio_def_pass_cmp,ratio_def_pass_att,ratio_def_pass_yd,ratio_def_pass_td,ratio_def_int,ratio_def_sacks,ratio_def_rush_att,ratio_def_rush_yd,ratio_def_rush_td,ratio_def_targets,ratio_def_rec,ratio_def_rec_yd,ratio_def_rec_td,ratio_def_fum,schedstr_ratio_pass_cmp,schedstr_ratio_pass_att,schedstr_ratio_pass_yd,schedstr_ratio_pass_td,schedstr_ratio_pass_int,schedstr_ratio_sacks,schedstr_ratio_rush_att,schedstr_ratio_rush_yd,schedstr_ratio_rush_td,schedstr_ratio_targets,schedstr_ratio_rec,schedstr_ratio_rec_yd,schedstr_ratio_rec_td,schedstr_ratio_off_fum,schedstr_ratio_def_pass_cmp,schedstr_ratio_def_pass_att,schedstr_ratio_def_pass_yd,schedstr_ratio_def_pass_td,schedstr_ratio_def_int,schedstr_ratio_def_sacks,schedstr_ratio_def_rush_att,schedstr_ratio_def_rush_yd,schedstr_ratio_def_rush_td,schedstr_ratio_def_targets,schedstr_ratio_def_rec,schedstr_ratio_def_rec_yd,schedstr_ratio_def_rec_td,schedstr_ratio_def_fum
DET,0.7241379310344828,32.411764705882355,8.562613430127042,0.07078039927404718,0.021778584392014518,1.9411764705882353,1.847750865051903,79.2059925093633,0.9232209737827716,0.9473684210526315,421.1666666666667,8.562613430127042,0.07078039927404718,0.018886981113018887,0.6114754098360655,35.88235294117647,7.219672131147541,0.029508196721311476,0.02622950819672131,2.176470588235294,21.705882352941178,4.531165311653116,0.04878048780487805,0.9524590163934427,0.6114754098360655,7.219672131147541,0.029508196721311476,0.020429009193054137,"['CHI', 'TEN', 'LAR', 'TAM', 'HOU', 'MIN', 'GNB', 'MIN', 'BUF', 'JAX', 'IND', 'CHI', 'ARI', 'DAL', 'SFO', 'GNB', 'SEA']",17,GNB,0.033874884726352965,0.9899500308797934,1.200629076426445,1.5583061699259015,1.002321360739459,0.8036529680365296,0.06843987680181352,17.849117930233202,26.534924543928703,0.9918050283529314,645.0597213861897,1.200629076426445,1.5583061699259015,1.1039372521778557,0.028604576743556598,1.0959519398124755,1.0123250750084145,0.6496545016109749,1.2071673656118949,0.9010654490106544,0.80397630557636,1.0211008213743105,1.40203331583218,0.9971343996346093,0.936536978638762,1.0123250750084145,0.6496545016109749,1.1940682387695563,0.030220272888267355,0.9829748304914016,1.0274973258357263,1.0203786789396032,1.0681190269303604,0.9898827110752978,0.05863905725539828,16.904786829361864,16.784453177875903,1.002762609448131,565.5595305990596,1.0274973258357263,1.0203786789396032,1.7701807624628882,0.030922339575523594,0.9985105040837288,1.0182223059710833,0.9942024891856567,1.1520796069681098,1.0271286596830513,0.9962231505252743,0.9936647482515293,1.0112253008372456,1.000429219122471,1.0124224084184752,1.0182223059710833,0.9942024891856567,1.0459087811102616
GNB,0.6430062630480167,28.176470588235293,8.22338204592902,0.05845511482254697,0.022964509394572025,1.2941176470588236,1.820069204152249,80.66920152091255,0.7433460076045627,0.9686847599164927,317.9568965517241,8.22338204592902,0.05845511482254697,0.02745414696043373,0.6743362831858407,33.23529411764706,7.007079646017699,0.04070796460176991,0.03008849557522124,2.6470588235294117,25.058823529411764,3.964788732394366,0.03051643192488263,0.9451327433628318,0.6743362831858407,7.007079646017699,0.04070796460176991,0.02320887991927346,"['ARI', 'MIA', 'HOU', 'IND', 'DET', 'SFO', 'TEN', 'CHI', 'LAR', 'MIN', 'SEA', 'NOR', 'CHI', 'MIN', 'PHI', 'JAX', 'DET']",17,DET,0.03007957753015058,0.8605917691314355,1.1530628670175853,1.2869518542699432,1.0569014905083265,0.5357686453576864,0.06741456029541931,18.17885295881245,21.365015290974977,1.0141212166503646,486.983428023283,1.1530628670175853,1.2869518542699432,1.6046850142449196,0.03154518342532439,1.0151030262197518,0.982515867672418,0.8962293665292014,1.3847705289154146,1.095890410958904,0.9281677674133587,0.8934675194506406,0.8770936118997088,0.9894644855131605,1.0328148198317144,0.982515867672418,0.8962293665292014,1.3565506827635772,0.03072231736975468,0.983608939617619,1.0294844266643721,1.0047817851446863,1.0361262747592463,1.0686722177455457,0.05958898284220468,16.764402318898092,17.248479242865127,0.9952087779029434,579.5726024171764,1.0294844266643721,1.0047817851446863,1.7157504973431714,0.030160649052775386,1.0064368681614468,1.0044717777952588,0.9201427107843306,1.1338193356597674,0.9726922732563346,0.9821250485623539,1.0073899121945773,1.0340848322822835,1.0020865149396958,0.9874840446304823,1.0044717777952588,0.9201427107843306,0.9865572551799079
HOU,0.6263157894736842,33.529411764705884,6.933333333333334,0.03508771929824561,0.021052631578947368,3.176470588235294,1.5017301038062285,74.77649769585253,0.5875576036866359,0.9596491228070175,372.0109689213894,6.933333333333334,0.03508771929824561,0.021829316475701306,0.5884476534296029,32.588235294117645,6.774368231046932,0.05595667870036101,0.03429602888086643,2.8823529411764706,26.294117647058822,4.3355704697986575,0.024608501118568233,0.9620938628158845,0.5884476534296029,6.774368231046932,0.05595667870036101,0.015984015984015984,"['TEN', 'BAL', 'TEN', 'MIA', 'JAX', 'DET', 'GNB', 'NYJ', 'JAX', 'DAL', 'KAN', 'IND', 'MIN', 'BUF', 'IND', 'CHI', 'NWE']",17,LAR,0.029298803807178968,1.0240862388411656,0.9721753369441996,0.7724936568863443,0.9689106487148103,1.3150684931506849,0.055623420471885905,16.850928616610705,16.887394374453272,1.004661760201951,569.772754962496,0.9721753369441996,0.7724936568863443,1.2759156957326276,0.02752734744739049,0.9953399584526416,0.9498856323464613,1.2319461116589987,1.5784149105868526,1.1933028919330289,0.9739225165112003,0.977023406418708,0.7072897376289856,1.0072211714931947,0.9012676201938823,0.9498856323464613,1.2319461116589987,0.9342599846196967,0.029947681098421497,0.9810725031127494,1.003382077725627,1.0417966148813942,1.0919550877278708,0.9397439341033218,0.05917433278447173,16.778473753155996,16.213527149663243,1.0006239979505995,560.8097070709645,1.003382077725627,1.0417966148813942,1.851239621097829,0.03085796300399554,0.9956570130157506,1.018717944364774,0.9934612307540666,1.031329973971349,0.9526367624675441,1.0119873918110853,0.9746642412554118,1.0580808363609473,1.0010419799415833,1.0103146673973613,1.018717944364774,0.9934612307540666,0.9874569373830989
IND,0.5633528265107213,30.176470588235293,7.015594541910332,0.03898635477582846,0.037037037037037035,1.8823529411764706,1.7162629757785466,79.89314516129032,0.685483870967742,0.9590643274853801,301.3353658536586,7.015594541910332,0.03898635477582846,0.03688835846804817,0.6935779816513762,32.05882352941177,7.6,0.04954128440366973,0.029357798165137616,2.1176470588235294,31.235294117647058,4.220338983050848,0.03389830508474576,0.9559633027522936,0.6935779816513762,7.6,0.04954128440366973,0.017657992565055763,"['BUF', 'NWE', 'GNB', 'JAX', 'TEN', 'HOU', 'DET', 'DEN', 'HOU', 'PIT', 'JAX', 'MIA', 'MIN', 'NYJ', 'CHI', 'TEN', 'NYG']",17,MIA,0.026353421413864684,0.9216776149570489,0.9837098059104179,0.8583262854292715,1.7045650301464255,0.7792998477929984,0.06356962339644102,18.003968192590158,19.70196010352882,1.004049534875807,461.5258578742379,0.9837098059104179,0.8583262854292715,2.156111283263722,0.03244530243514908,0.9791701757340969,1.0656537347272956,1.0907043467413615,1.3511414550885428,0.8767123287671232,1.1569415129025669,0.9510559217489766,0.9742943381206675,1.0008030556234115,1.0622854442508092,1.0656537347272956,1.0907043467413615,1.0321033136316227,0.030191513867435748,0.9874135943749236,0.9848500065156989,0.9730355416548245,1.0226694723361065,1.028561196167965,0.058126399002201186,16.34972039791478,15.817206381668704,0.9966647676310858,570.7395867513994,0.9848500065156989,0.9730355416548245,1.777258018497795,0.03034657105595085,0.995974067578859,1.0016610741673087,0.9860951766287386,1.0484971664202636,0.9941803205300384,0.9976329607215665,0.9778780800037801,0.991251144185388,1.0025629946197177,0.9935712813925377,1.0016610741673087,0.9860951766287386,0.990656140986565
JAX,0.6282051282051282,32.11764705882353,6.8076923076923075,0.0347985347985348,0.027472527472527472,1.8823529411764706,1.4325259515570934,70.9975845410628,0.533816425120773,0.9560439560439561,358.7701149425287,6.8076923076923075,0.0347985347985348,0.029806105610561056,0.6706896551724137,34.11764705882353,7.939655172413793,0.05,0.010344827586206896,2.0,30.058823529411764,4.410958904109589,0.03718199608610567,0.9689655172413794,0.6706896551724137,7.939655172413793,0.05,0.007332722273143905,"['BUF', 'CHI', 'LVR', 'HOU', 'TEN', 'HOU', 'PHI', 'DET', 'IND', 'NYJ', 'CLE', 'IND', 'TEN', 'MIA', 'MIN', 'GNB', 'NWE']",17,CAR,0.02938718632243441,0.9809668182583796,0.9545582542850776,0.7661269509229954,1.264375159723997,0.7792998477929984,0.05306012920590037,15.999348270086069,15.342782457434039,1.000887491982537,549.4930361373616,0.9545582542850776,0.7661269509229954,1.7421561513165704,0.03137459561559834,1.0420526640839929,1.1132793667012695,1.1008034610630408,0.476102646351243,0.8280060882800608,1.1133655613808129,0.9940122353186475,1.0686731438681685,1.0144151429839656,1.0272296369658491,1.1132793667012695,1.1008034610630408,0.42859497919537876,0.029812861064485743,0.9893159217535761,0.9910462981659576,0.9737040494980933,1.1240321605188959,1.085862655564509,0.05916679369251294,16.627020288221097,16.632351741729213,0.9971646274347471,564.3719564315071,0.9910462981659576,0.9737040494980933,1.8002588921285736,0.03020009723485911,0.9804383939865318,0.9887647511080184,1.0129014617063714,1.1128263793642914,0.9597994448921121,1.0051946699562235,0.9809045514522801,0.987253393413473,0.9994854377370999,0.9887756100185214,0.9887647511080184,1.0129014617063714,1.0565861755642336
KAN,0.6733333333333333,35.294117647058826,6.743333333333333,0.043333333333333335,0.018333333333333333,2.411764705882353,1.5570934256055362,67.62222222222222,0.5666666666666667,0.9533333333333334,423.7762237762238,6.743333333333333,0.043333333333333335,0.012769953051643192,0.6590509666080844,33.470588235294116,6.977152899824253,0.0421792618629174,0.022847100175746926,2.2941176470588234,24.58823529411765,4.141148325358851,0.03110047846889952,0.9560632688927944,0.6590509666080844,6.977152899824253,0.0421792618629174,0.019250253292806486,"['CIN', 'SFO', 'CAR', 'CLE', 'BUF', 'TAM', 'ATL', 'DEN', 'LAC', 'BAL', 'NOR', 'HOU', 'PIT', 'LVR', 'LVR', 'LAC', 'DEN']",17,LAC,0.03149826582967868,1.077985514569648,0.9455339935760171,0.9540296662546354,0.8437596899224806,0.9984779299847792,0.05767405348467431,15.238708346545826,16.286953685583825,0.998049726679598,649.0565243510466,0.9455339935760171,0.9540296662546354,0.7463991623602525,0.030830142388408113,1.0222895963168828,0.978319611244881,0.9286215488756759,1.0514979359954224,0.9497716894977168,0.9107373868046572,0.9332102595290368,0.8938800925102295,1.0009077107064928,1.0094037979410602,0.978319611244881,0.9286215488756759,1.1251703804129949,0.03046677272859579,1.0114040563168167,1.0096626099000214,1.0382129221794707,0.9396701665247807,0.9626645178619393,0.057900226243437755,16.678703171960603,16.549959089229354,0.9992554377937459,588.2054865810633,1.0096626099000214,1.0382129221794707,1.6588505004952525,0.0304408119756899,1.0285250027246873,0.9856521549825475,1.0355606215202795,1.0192960297768223,1.057211925866237,0.9812278966192589,0.9884394219986528,0.9089912603747243,0.9984416112746305,0.9966568053290672,0.9856521549825475,1.0355606215202795,0.9266936510297135
LAC,0.6588235294117647,30.0,7.649019607843138,0.045098039215686274,0.0058823529411764705,2.588235294117647,1.602076124567474,69.10151187904968,0.6241900647948164,0.9627450980392157,349.0020366598778,7.649019607843138,0.045098039215686274,0.027920727033833352,0.6495575221238938,33.23529411764706,6.658407079646017,0.04247787610619469,0.02654867256637168,2.7058823529411766,25.058823529411764,4.687793427230047,0.01643192488262911,0.9628318584070796,0.6495575221238938,6.658407079646017,0.04247787610619469,0.011099899091826439,"['PIT', 'ATL', 'TEN', 'DEN', 'KAN', 'BAL', 'DEN', 'CLE', 'TAM', 'CIN', 'NOR', 'CAR', 'ARI', 'KAN', 'LVR', 'LVR', 'NWE']",17,KAN,0.03081950296672113,0.9162876873842007,1.0725271463289938,0.9928815531156838,0.2707250341997264,1.0715372907153728,0.059340192807564904,15.572067158185819,17.940272958202485,1.0079029531050652,534.5322276162252,1.0725271463289938,0.9928815531156838,1.6319564517005687,0.03038604282701851,1.0151030262197518,0.9336258383894005,0.9351958607261232,1.221856349043013,1.1202435312024352,0.9281677674133587,1.056397061185867,0.4722811756383048,1.0079937829946803,0.9948636191029901,0.9336258383894005,0.9351958607261232,0.6487851091477977,0.030699180631314094,1.0282079481615787,0.9737041350512987,1.0055106717858155,1.0559913065360054,0.9970453934998657,0.05753081073745747,16.67494257473693,14.948561613745989,0.997654395968852,603.5211541401472,0.9737041350512987,1.0055106717858155,1.7120214440088386,0.030688026413465352,1.0184849415595782,0.9951990703542063,1.0244210578239519,0.9174707845767089,1.0027755394395201,0.9941725175124858,0.9773256528178124,0.970601164970175,0.9984035516911687,1.00475080597469,0.9951990703542063,1.0244210578239519,0.9578285055510887
LAR,0.6565295169946332,32.88235294117647,7.32737030411449,0.03935599284436494,0.016100178890876567,1.8235294117647058,1.5570934256055362,66.67777777777778,0.5666666666666667,0.9677996422182469,379.2107208872458,7.32737030411449,0.03935599284436494,0.020496332763990755,0.6531365313653137,31.88235294117647,7.5664206642066425,0.05350553505535055,0.023985239852398525,2.235294117647059,28.058823529411764,4.633123689727463,0.027253668763102725,0.955719557195572,0.6531365313653137,7.5664206642066425,0.05350553505535055,0.011776251226692836,"['SEA', 'SFO', 'SFO', 'DET', 'MIA', 'SEA', 'NYJ', 'LVR', 'ARI', 'CHI', 'NOR', 'GNB', 'PHI', 'NWE', 'ARI', 'BUF', 'MIN']",17,HOU,0.030712189977219067,1.0043231710740554,1.0274262539880903,0.8664642627329838,0.7409826517452262,0.7549467275494672,0.05767405348467431,15.025877224387365,16.286953685583825,1.0131945822341266,580.7999096846448,1.0274262539880903,0.8664642627329838,1.1980032772736897,0.030553467457453836,0.9737802481612486,1.0609453209644202,1.1779815634991948,1.1038788294859694,0.9254185692541856,1.0392864437938312,1.044077203041508,0.7833163074827588,1.00054787710635,1.000345236920423,1.0609453209644202,1.1779815634991948,0.6883176481386039,0.031057299715974707,0.9895272914623151,1.0316442132720822,0.9901247904281445,0.9780417308687315,0.9927477840451249,0.05840534540467607,17.16721623825734,18.230096917028078,0.9970938495062059,588.1583555364573,1.0316442132720822,0.9901247904281445,1.7544503929925146,0.03046475890890845,0.9998844071905332,0.9821695259962235,0.9074918520987216,1.0147335710382226,0.9741248097412483,0.9825095422522518,1.000504741138992,1.0250324568145357,0.999026952677657,0.9974408472914857,0.9821695259962235,0.9074918520987216,1.1063624603371958
LVR,0.6456692913385826,37.35294117647059,6.4834645669291335,0.029921259842519685,0.025196850393700787,2.9411764705882355,1.314878892733564,60.70789473684211,0.4473684210526316,0.9322834645669291,439.7804054054054,6.4834645669291335,0.029921259842519685,0.02738255033557047,0.6595365418894831,33.0,7.110516934046346,0.05169340463458111,0.017825311942959002,2.235294117647059,26.705882352941178,4.3766519823788546,0.030837004405286344,0.9536541889483066,0.6595365418894831,7.110516934046346,0.05169340463458111,0.012807881773399015,"['MIA', 'JAX', 'LAR', 'CAR', 'BAL', 'CIN', 'DEN', 'DEN', 'KAN', 'KAN', 'CLE', 'ATL', 'TAM', 'NOR', 'LAC', 'LAC', 'PIT']",17,NWE,0.030204152935608304,1.140868002919544,0.9090958197000157,0.6587485278802448,1.159641091375206,1.2176560121765603,0.048702534053724975,13.680560499585724,12.858121330724071,0.9760125073415373,673.5685614133353,0.9090958197000157,0.6587485278802448,1.6005002172758436,0.030852857407161306,1.0079164561226208,0.9970195956063379,1.1380855747175824,0.8203788915143225,0.9254185692541856,0.9891740995438142,0.9862811499247895,0.8863074045018406,0.9983856321259207,1.0101475060274814,0.9970195956063379,1.1380855747175824,0.7486160825034553,0.03081097693176799,1.0117211108799253,0.9987529013170179,1.0411549424004602,0.8967772803828827,0.9397439341033217,0.05842796268055241,16.508628106571763,15.648063722914799,1.002636361549781,593.1393234014104,0.9987529013170179,1.0411549424004602,1.6034478231421925,0.030529856684472025,1.0350774636956015,0.996615321548665,0.9968247597269839,0.9612543209019973,1.0342913421076192,0.9764858077771857,0.9835130950969235,0.8915408590558611,0.9985000572988334,0.9995722011160498,0.996615321548665,0.9968247597269839,0.8769073390144593
MIA,0.6988155668358714,34.76470588235294,6.829103214890017,0.03722504230118443,0.01692047377326565,2.5294117647058822,1.5501730103806228,68.11383928571429,0.4553571428571429,0.961082910321489,429.7235915492958,6.829103214890017,0.03722504230118443,0.042115292996665075,0.6381118881118881,33.64705882352941,6.694055944055944,0.038461538461538464,0.017482517482517484,2.0588235294117645,23.823529411764707,4.353086419753087,0.02962962962962963,0.9370629370629371,0.6381118881118881,6.694055944055944,0.038461538461538464,0.014329580348004094,"['LVR', 'GNB', 'HOU', 'TEN', 'CLE', 'LAR', 'SFO', 'NWE', 'SEA', 'NYJ', 'ARI', 'IND', 'NWE', 'JAX', 'NYJ', 'BUF', 'BUF']",17,IND,0.03269031458927802,1.0618157318511032,0.9575604402349642,0.8195491080672385,0.7787352929602959,1.0471841704718416,0.05741772435807577,15.349494546740813,13.087730640201288,1.0061627999609735,658.1655249019268,0.9575604402349642,0.8195491080672385,2.4616237262691034,0.02985062061508876,1.0276795238897312,0.9386244364811407,0.846771893125416,0.8046023743698163,0.8523592085235919,0.8824130183155171,0.9809706362493261,0.8516054214684352,0.9810161624656424,0.9773334628223268,0.9386244364811407,0.846771893125416,0.8375588168155342,0.029888186025789486,1.0012583102973374,0.9839989764534588,0.9190765052159119,1.0894214317889195,0.9612319813770256,0.05612100054116545,16.796797502725067,17.209918455726413,1.0022889686212804,569.6921868704557,0.9839989764534588,0.9190765052159119,1.7521743834958867,0.030652516158808336,0.9743086724330963,1.0008955604138625,1.046300134117788,0.9376425163538586,0.9397439341033217,1.0408244185534221,0.9890837566827971,1.0056808537204738,0.9993036710821012,1.0035881715156894,1.0008955604138625,1.046300134117788,1.034200760451305
MIN,0.6642335766423357,32.23529411764706,7.990875912408759,0.06386861313868614,0.021897810218978103,2.8823529411764706,1.5813148788927336,69.00437636761488,0.3347921225382932,0.9434306569343066,385.825918762089,7.990875912408759,0.06386861313868614,0.027831781438657527,0.6514913657770801,37.470588235294116,7.0,0.03767660910518053,0.03767660910518053,2.8823529411764706,23.058823529411764,4.051020408163265,0.030612244897959183,0.9717425431711146,0.6514913657770801,7.0,0.03767660910518053,0.014577259475218658,"['ATL', 'SEA', 'NYG', 'TEN', 'DET', 'DET', 'NYJ', 'GNB', 'HOU', 'CHI', 'GNB', 'ARI', 'IND', 'SFO', 'JAX', 'LAR', 'CHI']",17,CHI,0.031072582826849313,0.9845601033069451,1.1204614157632606,1.406135807927242,1.007808521473434,1.1933028919330289,0.05857120542776925,15.550177612409238,9.622489048375563,0.9876825621969633,590.9317601746983,1.1204614157632606,1.406135807927242,1.62675761365736,0.030476507264832024,1.1444612879681095,0.9815231767225091,0.82949083408204,1.7340002190500527,1.1933028919330289,0.854088649826377,0.9128998793183458,0.8798474379967252,1.0173224261694425,0.9978254979667704,0.9815231767225091,0.82949083408204,0.8520355727080142,0.030364727609753363,0.9866738003943366,1.023312317572437,0.9714761925874328,1.1015044119138035,0.9841525651356432,0.058887847290038056,16.999851989129404,18.106687884328135,1.0007547652951931,571.6576818923073,1.023312317572437,0.9714761925874328,1.6957573502691896,0.03067510212068399,0.9803327091321624,1.0171150367320796,0.9641230290090995,1.0358294793904352,0.9669621273166802,1.0107057461780926,1.0003502302400917,1.0528478808999968,0.9992600113299633,1.004327654175556,1.0171150367320796,0.9641230290090995,1.046357338919237
